,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
120,M1748115759,condo,730000,1.0,2,3,San Jose,95123,CA,Santa Clara,1520
121,M2984742588,condo,918000,0.0,2,2,Sunnyvale,94086,CA,Santa Clara,1209
122,M1225394698,condo,724000,0.0,2,2,Campbell,95008,CA,Santa Clara,1126
123,M2528830253,condo,658000,0.0,2,2,San Jose,95123,CA,Santa Clara,982
124,M2711440372,condo,698000,1.0,1,3,San Jose,95123,CA,Santa Clara,1260
125,M2928023823,condo,672000,0.0,1,2,Sunnyvale,94086,CA,Santa Clara,917
126,M1351138883,condo,537900,0.0,1,2,Newark,94560,CA,Alameda,905
127,M2194057605,condo,451000,1.0,1,2,Newark,94560,CA,Alameda,1132
128,M2539567919,condo,2150000,0.0,3,4,San Jose,95128,CA,Santa Clara,2037
129,M2856952505,condo,569888,1.0,1,3,San Jose,95122,CA,Santa Clara,1125
130,M1284629082,condo,739000,1.0,2,3,San Jose,95123,CA,Santa Clara,1142
131,M2671243015,condo,569000,1.0,1,3,San Jose,95123,CA,Santa Clara,1156
132,M1214204674,condo,689000,0.0,2,3,San Jose,95125,CA,Santa Clara,1312
133,M2148882019,condo,1699888,1.0,2,3,Cupertino,95014,CA,Santa Clara,1727
134,M2596668572,condo,915000,0.0,3,3,San Jose,95123,CA,Santa Clara,2173
135,M2550846904,condo,649000,0.0,2,2,San Jose,95131,CA,Santa Clara,922
