,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
0,M1705067235,condo,319888.0,0.0,2,2,Sacramento,95835,CA,Sacramento,1651
1,M2497686502,condo,249000.0,1.0,2,2,Sacramento,95825,CA,Sacramento,1228
2,M1994154037,condo,320000.0,0.0,2,3,Sacramento,95834,CA,Sacramento,1508
3,M2461272844,condo,175000.0,0.0,1,1,Sacramento,95825,CA,Sacramento,701
4,M2044058763,condo,279000.0,1.0,1,2,Roseville,95678,CA,Placer,990
5,M2771589434,condo,459000.0,0.0,2,2,Sacramento,95818,CA,Sacramento,1399
6,M1662348051,condo,130000.0,0.0,1,1,Sacramento,95821,CA,Sacramento,656
7,M9696864509,condo,324990000.0,1.0,2,3,Sacramento,95835,CA,Sacramento,1492
8,M9086773696,condo,422260.78,2.0,2,3,Sacramento,95833,CA,Sacramento,1740
9,M2162710679,condo,139900.0,0.0,1,1,Sacramento,95825,CA,Sacramento,688
10,M1294333879,condo,319900.0,0.0,2,2,Sacramento,95831,CA,Sacramento,1090
11,M1960148027,condo,350000.0,0.0,2,4,Citrus Heights,95621,CA,Sacramento,1642
12,M2124701556,condo,333000.0,0.0,2,2,Sacramento,95835,CA,Sacramento,1651
13,M1069406002,condo,279900.0,0.0,2,3,Elk Grove,95758,CA,Sacramento,1168
14,M2785671408,condo,249900.0,0.0,1,2,Rancho Cordova,95670,CA,Sacramento,974
15,M1246017191,condo,119900.0,0.0,1,2,Sacramento,95842,CA,Sacramento,795
16,M2417065748,condo,349900.0,1.0,2,3,Citrus Heights,95610,CA,Sacramento,1812
17,M1977589066,condo,129000.0,0.0,1,1,Sacramento,95825,CA,Sacramento,484
