,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
96,M2029167365,condo,467999,0.0,2,2,Encino,5301 Balboa Blvd Unit M8,91316,CA,Los Angeles,1415
97,M2920210113,condo,559000,0.0,3,2,Woodland Hills,21901 Burbank Blvd Unit 192,91367,CA,Los Angeles,1666
98,M1540691901,condo,875000,0.0,2,2,Los Angeles,330 S Barrington Ave Apt 304,90049,CA,Los Angeles,1077
99,M2027413631,condo,599000,0.0,1,1,Los Angeles,1050 S Grand Ave Unit 1506,90015,CA,Los Angeles,705
100,M1671782666,condo,565000,0.0,1,1,Los Angeles,312 W 5th St Apt 1010,90013,CA,Los Angeles,940
101,M2430399617,condo,1499000,0.0,4,3,Los Angeles,10660 Wilshire Blvd Apt 809,90024,CA,Los Angeles,2426
102,M2505350323,condo,1099000,1.0,2,3,Los Angeles,1530 S Centinela Ave Apt 303,90025,CA,Los Angeles,1829
103,M1894719365,condo,579000,0.0,2,3,Los Angeles,4000 Via Marisol Apt 202,90042,CA,Los Angeles,1495
104,M1687428369,condo,365000,0.0,2,2,Tarzana,18350 Hatteras St Apt 240,91356,CA,Los Angeles,870
105,M2674151073,condo,779000,0.0,2,2,Los Angeles,7135 Hollywood Blvd Apt 308,90046,CA,Los Angeles,1148
106,M2839529955,condo,499000,0.0,1,1,Los Angeles,4408 Franklin Ave Apt 3,90027,CA,Los Angeles,636
107,M1732829813,condo,949999,1.0,2,2,Venice,2500 Abbot Kinney Blvd Apt 6,90291,CA,Los Angeles,935
108,M1485565913,condo,849999,1.0,3,5,West Hills,7049 Salisbury Rd,91307,CA,Los Angeles,2452
109,M2977438065,condo,699000,0.0,2,1,Los Angeles,7250 Franklin Ave Unit 615,90046,CA,Los Angeles,996
110,M2376021208,condo,899000,0.0,1,0,Los Angeles,530 S Hewitt St Unit 341,90013,CA,Los Angeles,1300
