property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size,lot_size
M2299370455,single_family,269900,0.0,1.0,3,Sacramento,95824,CA,Sacramento,875.0,6098.0
M1345721688,single_family,409000,0.0,2.0,3,Sacramento,95815,CA,Sacramento,1291.0,7841.0
M2397730715,single_family,599000,0.0,3.0,5,Lincoln,95648,CA,Placer,3119.0,7144.0
M1999810362,single_family,399999,1.0,2.0,4,Citrus Heights,95621,CA,Sacramento,1673.0,5789.0
M2899894671,single_family,665000,1.0,2.0,3,Sacramento,95841,CA,Sacramento,2224.0,44867.0
M2586467275,single_family,575000,0.0,2.0,3,Sacramento,95831,CA,Sacramento,1770.0,12197.0
M2026965862,single_family,449500,1.0,2.0,4,Carmichael,95608,CA,Sacramento,1749.0,12902.0
M1181156356,single_family,565000,0.0,3.0,4,Rocklin,95765,CA,Placer,2422.0,6351.0
M2968754642,single_family,599000,0.0,3.0,5,Galt,95632,CA,Sacramento,3440.0,14244.0
M1778078004,single_family,335000,0.0,2.0,3,Citrus Heights,95621,CA,Sacramento,1335.0,7841.0
M2013521080,single_family,579900,0.0,2.0,4,Rancho Murieta,95683,CA,Sacramento,2094.0,3354.0
M2667307621,single_family,635000,0.0,2.0,3,Lincoln,95648,CA,Placer,1334.0,230868.0
M1647073695,single_family,460000,0.0,3.0,4,Elk Grove,95758,CA,Sacramento,2196.0,6504.0
M1492878597,single_family,739900,1.0,3.0,4,Rancho Murieta,95683,CA,Sacramento,3730.0,6364.0
M1161320236,single_family,425000,0.0,2.0,3,Woodland,95695,CA,Yolo,1646.0,14323.0
M1172026200,single_family,959900,0.0,4.0,5,Rocklin,95765,CA,Placer,3555.0,13403.0
M1046028978,single_family,449000,0.0,2.0,4,Sacramento,95821,CA,Sacramento,1967.0,10820.0
M2756672941,single_family,285000,1.0,1.0,2,Sacramento,95834,CA,Sacramento,1054.0,5663.0
